time,open,high,low,close,tick_volume,spread,real_volume
2020-09-15,1.28453,1.29257,1.28138,1.28882,48018.0,8.0,0.0
2020-09-16,1.2883,1.3007,1.28743,1.29666,62181.0,8.0,0.0
2020-09-17,1.29645,1.29978,1.2864200000000001,1.2973,69043.0,8.0,0.0
2020-09-18,1.29704,1.29993,1.29132,1.29154,53360.0,8.0,0.0
2020-09-21,1.29195,1.2965900000000001,1.27739,1.28152,62672.0,8.0,0.0
2020-09-22,1.28076,1.28663,1.27098,1.27284,65025.0,8.0,0.0
2020-09-23,1.27261,1.27767,1.26745,1.27197,76746.0,0.0,0.0
2020-09-24,1.27206,1.27807,1.26898,1.2737,88050.0,5.0,0.0
2020-09-25,1.27423,1.28046,1.26868,1.27407,64773.0,5.0,0.0
2020-09-28,1.27569,1.29303,1.2745,1.28278,61639.0,5.0,0.0
2020-09-29,1.2827,1.29029,1.2822200000000001,1.28599,67946.0,5.0,0.0
2020-09-30,1.28609,1.29429,1.2805,1.29099,91676.0,5.0,0.0
2020-10-01,1.2918,1.29788,1.2818399999999999,1.28797,90800.0,5.0,0.0
2020-10-02,1.2889300000000001,1.29541,1.28354,1.29239,96935.0,5.0,0.0
2020-10-05,1.29325,1.29908,1.28994,1.29701,57639.0,5.0,0.0
2020-10-06,1.297,1.30071,1.28662,1.28678,73654.0,5.0,0.0
2020-10-07,1.2876,1.29295,1.28443,1.29094,70648.0,5.0,0.0
2020-10-08,1.2913299999999999,1.29705,1.28906,1.29309,58553.0,5.0,0.0
2020-10-09,1.29205,1.30502,1.29118,1.30454,55057.0,5.0,0.0
2020-10-12,1.30227,1.30827,1.30053,1.30631,48147.0,5.0,0.0
2020-10-13,1.30623,1.3068,1.29213,1.2926,64711.0,5.0,0.0
2020-10-14,1.29326,1.30648,1.28619,1.30091,63095.0,5.0,0.0
2020-10-15,1.30075,1.303,1.28897,1.28986,74011.0,5.0,0.0
2020-10-16,1.28979,1.29622,1.28601,1.29074,62845.0,5.0,0.0
2020-10-19,1.28915,1.3024499999999999,1.28911,1.29436,60428.0,6.0,0.0
2020-10-20,1.29432,1.29796,1.2910599999999999,1.29414,58167.0,6.0,0.0
2020-10-21,1.29414,1.31778,1.29314,1.31353,70188.0,6.0,0.0
2020-10-22,1.31393,1.31535,1.30704,1.30744,61693.0,6.0,0.0
2020-10-23,1.30862,1.31222,1.30185,1.30416,56030.0,6.0,0.0
2020-10-26,1.3049,1.30748,1.29924,1.3014999999999999,57570.0,6.0,0.0
2020-10-27,1.30154,1.30797,1.30004,1.30404,42087.0,8.0,0.0
2020-10-28,1.30398,1.3063799999999999,1.29158,1.2983,55974.0,8.0,0.0
2020-10-29,1.2983,1.30251,1.28802,1.29253,58456.0,8.0,0.0
2020-10-30,1.29256,1.29878,1.28983,1.29328,60493.0,8.0,0.0
2020-11-02,1.29244,1.29423,1.28526,1.2916,48062.0,8.0,0.0
2020-11-03,1.29126,1.30788,1.2904499999999999,1.30508,45320.0,8.0,0.0
2020-11-04,1.30515,1.31399,1.2913700000000001,1.2987,98778.0,8.0,0.0
2020-11-05,1.2987,1.31544,1.2931300000000001,1.31455,73030.0,8.0,0.0
2020-11-06,1.31442,1.31769,1.30922,1.31495,69001.0,8.0,0.0
2020-11-09,1.31565,1.32077,1.31181,1.31626,84907.0,8.0,0.0
2020-11-10,1.31613,1.32782,1.31546,1.32715,78757.0,8.0,0.0
2020-11-11,1.32697,1.33131,1.31912,1.32214,57874.0,8.0,0.0
2020-11-12,1.32178,1.32282,1.31057,1.31141,54398.0,8.0,0.0
2020-11-13,1.3114,1.32003,1.31083,1.31958,43323.0,4.0,0.0
2020-11-16,1.31789,1.32425,1.31653,1.32007,53558.0,4.0,0.0
2020-11-17,1.31961,1.32733,1.31787,1.32489,68459.0,4.0,0.0
2020-11-18,1.32427,1.33127,1.32369,1.32687,48309.0,4.0,0.0
2020-11-19,1.3266499999999999,1.32798,1.3195700000000001,1.32612,59729.0,4.0,0.0
2020-11-20,1.32606,1.32983,1.32452,1.32816,52729.0,4.0,0.0
2020-11-23,1.32889,1.33979,1.32637,1.33106,54818.0,6.0,0.0
2020-11-24,1.33233,1.3381,1.32928,1.33478,61798.0,6.0,0.0
